ARTWORKNAM	Nbhd#	Ward#(25)	Ward Name (25)	ADDRESS	POSTAL_COD	POSTCODE2	X_COORDI	Y_COORDI	PARK_NAME	NEAR_ST	NEAR_CST	ARTIST	MEDIA	DATE	INDOORS_OU
CANADIAN VOLUNTEERS WAR MEMORIAL	79	11	University-Rosedale	9 KING'S COLLEGE CRCL	M7A 1A5	M7A1A5	313387.766	4835639.934		QUEENS PARK CRES W	WELLESLEY QUEENS PR S RAMP	"REID, ROBERT"	MASONRY	1870	OUTDOORS
HOWARD MONUMENT	87	4	Parkdale-High Park	11 COLBORNE LODGE DR	M6R 2Z3	M6R2Z3	307899.681	4833197.499	HIGH PARK	COLBORNE LODGE DR	THE QUEENSWAY	"HOWARD, JOHN G."	MASONRY	1873	OUTDOORS
FORT ROUILLE MONUMENT	82	10	Spadina-Fort York	1 YUKON PL	M6K 3C3	M6K3C3	310956.892	4832080.413		YUKON PL	ALBERTA CRCL	UNKNOWN	MASONRY	1878	OUTDOORS
ROBERT BURNS MEMORIAL	73	13	Toronto Centre	19 HORTICULTURAL AVE	M5A 2P2	M5A2P2	313491.916	4835448.235		CARLTON STREET	SHERBOURNE STREET	"STEVENSON, DAVID WATSON"	"BRONZE, MASONRY"	1902	OUTDOORS
WAR OF 1812 MEMORIAL	77	10	Spadina-Fort York	10 NIAGARA ST	M5V 1C2	M5V1C2	312838.568	4833427.823	VICTORIA MEMORIAL PARK	NIAGARA ST.	PORTLAND ST.	"ALLWARD, WALTER SEYMOUR"	"BRONZE, MASONRY"	1906	OUTDOORS
SOUTH AFRICAN WAR MEMORIAL	78	10	Spadina-Fort York	360 UNIVERSITY AVE.	M5G 1S4	M5G1S4	313915.485	4834380.17		UNIVERSITY AVE	QUEEN ST W	"ALLWARD, WALTER SEYMOUR"	"BRONZE, MASONRY"	1910	OUTDOORS
ROTARY FOUNTAIN	87	4	Parkdale-High Park	220 WEST RD	M6S 2T9	M6S2T9	307482.671	4834380.757	HIGH PARK	WEST RD	SPRING RD	UNKNOWN	MASONRY	1912	OUTDOORS
DR. WILLIAM D. YOUNG MEMORIAL	63	19	Beaches-East York	59 LEE AVE	M4E 2P1	M4E2P1	321094.392	4836388.616	KEW GARDENS	LEE AVE	QUEEN ST E	"KLEIN, MAURICE/ WYLE, FLORENCE/ CAGE, F.M."	"MASONRY, BRONZE"	1920	OUTDOORS
SCARBOROUGH WAR MEMORIAL	122	20	Scarborough Southwest	58 GLEN EVEREST RD	M1N 1J3	M1N1J3	324620.119	4840089.389		KINGSTON RD	DANFORTH AVE	UNKNOWN	"MASONRY, BRONZE"	1921	OUTDOORS
SONS OF ENGLAND WAR MEMORIAL	78	11	University-Rosedale	522 UNIVERSITY AVE	M5G 2A2	M5G2A2	313752.187	4834909.656		UNIVERSITY AVE	ELM ST	"ADAMSON, CHARLES"	"BRONZE, MASONRY"	1923	OUTDOORS
FORTY EIGHTH HIGHLANDERS REGIMENTAL MEMORIAL (48TH)	79	11	University-Rosedale	78 QUEEN'S PARK	M5S 2C5	M5S2C5	313419.489	4835991.717	QUEEN'S PARK	HOSKIN AVE	QUEENS PARK	"HALENBY, ERIC WILSON/ MATHERS, ALVAN"	"MASONRY, BRONZE"	1923	OUTDOORS
"CENOTAPH, TORONTO"	76	13	Toronto Centre	50 QUEEN ST W	M5H 2Y4	M5H2Y4	314354.253	4834475.178		QUEEN ST W	BAY ST	"FERGUSON, W.M. & POMPHREY, T.C."	MASONRY	1924	OUTDOORS
EDWARD HANLAN	77	10	Spadina-Fort York	800 LAKESHORE AVE	M5V 1A1	M5V1A1	313705.197	4831749.865	TORONTO ISLAND PARK	LAKESHORE AVE	LAKESHORE AVE	"HAHN, EMANUEL"	"BRONZE, MASONRY"	1926	OUTDOORS
PRINCES' GATES	82	10	Spadina-Fort York	1 STRACHAN AVE	M6K 3C3	M6K3C3	312089.977	4832542.657		STRACHAN AVE	PRINCES BLVD	"CHAPMAN, ALFRED"	MASONRY	1927	OUTDOORS
AMSTERDAM PARK FOUNTAIN	97	12	Toronto-St. Paul's	150 ST CLAIR AVE W	M4V 1P6	M4V1P6	312770.248	4838362.802	AMSTERDAM SQUARE	ST CLAIR AVE W	FOXBAR RD	UNKNOWN	TERRA COTTA	1928	OUTDOORS
"SETTLEMENT OF CANADA, THE (1929-1930)"	82	10	Spadina-Fort York	100 PRINCES' BLVD	M6K 3C3	M6K3C3	311841.129	4832513.923		PRINCES' BLVD	CANADA BLVD	"HAINES, FREDERICK & PALMER, HERBERT S."	OIL PIGMENT ON LINEN	1929	INDOORS
PETER PAN STATUE	96	12	Toronto-St. Paul's	480 AVENUE RD	M4V 2J4	M4V2J4	312678.267	4838325.171	GLENN GOULD PARK	ST CLAIR AVE W	AVENUE RD	"FRAMPTON, SIR GEORGE JAMES"	BRONZE	1929	OUTDOORS
ROBERT RAIKES	79	11	University-Rosedale	12 QUEEN'S PARK CRES W	M5S 1S8	M5S1S8	313492.305	4835447.668		QUEENS PARK	QUEENS PARK CRES W	"BROCK, SIR THOMAS"	"BRONZE, MASONRY"	1930	OUTDOORS
SHRINE PEACE MEMORIAL	82	10	Spadina-Fort York	50 PRINCE EDWARD ISLAND CRES	M6K 3C3	M6K3C3	311060.29	4832094.986		LAKE SHORE BLVD W	PLANNING BOUNDARY	"KECK, CHARLES"	"MASONRY, BRONZE"	1930	OUTDOORS
SIR ADAM BECK	76	10	Spadina-Fort York	250 UNIVERSITY AVE	M5H 3E5	M5H3E5	313944.992	4834286.273		UNIVERSITY AVE	QUEEN ST W	"HAHN, EMANUEL"	"BRONZE, MASONRY"	1933	OUTDOORS
MACKENZIE PANELS	75	13	Toronto Centre	82 BOND ST	M5B 1X2	M5B1X2	314585.732	4834866.278		BOND ST	VICTORIA ST LN	"HAHN, JEFFREY G.W."	MASONRY	1938	OUTDOORS
YOUNG GIRL	98	11	University-Rosedale	276 ST CLAIR AVE E	M4T 1P3	M4T1P3	314203.621	4838751.887	LORING/WYLE PARKETTE	MOUNT PLEASANT RD	ST CLAIR AVE E	"WYLE, FLORENCE"	"BRONZE, MASONRY"	1938	OUTDOORS
LION MONUMENT	85	4	Parkdale-High Park	1751 LAKE SHORE BLVD W	M6S 5A3	M6S5A3	307175.646	4832358.211	SIR CASIMIR GZOWSKI PARK	LAKE SHORE W	GARDINER W	"LORING, FRANCES/ SOMERVILLE, W.I./ WYLE, FLORENCE"	MASONRY	1939	OUTDOORS
WAR MEMORIAL	88	4	Parkdale-High Park	155 OAKMOUNT RD	M6P 2M3	M6P2M3	307667.626	4835210.388	LITHUANIA PARK	OAKMOUNT RD	GLENLAKE AVE	UNKNOWN	MASONRY	1946	OUTDOORS
